dataset,matched_pairs,peak_smd,tail_contrast,contrast_ci_low,contrast_ci_high,regime,evidence_status
SMD,238,0.017510524693241436,2.368445046107916,0.720982981386587,4.256587041996098,positive,primary
MSL,26,-0.0025444828960383137,-3.784446897142487,-7.075511858500485,-1.0469895519363195,reversal,primary
SMAP,13,0.00036051049645468257,-1.1703843501807352,-6.429005041384719,2.387557022387192,underpowered,exploratory_underpowered
PSM,35,0.02110673747884073,3.56641717511661,2.076644223392544,5.204384616521608,positive,primary
SWaT,7,0.04085263482675505,-1.1523417610263356,-4.100119872891748,0.7715419518866143,underpowered,exploratory_underpowered
HAI,31,0.03534530954799209,3.310989443903495,-0.4626185404107148,7.295999772791547,null_or_uncertain,primary
