dataset,predictor,seed,method,alarm_fraction,analysis_role,alarm_count,anomaly_prevalence,pointwise_f1_ceiling,matched_pairs,peak_smd,tail_contrast,contrast_ci_low,contrast_ci_high,regime,evidence_status,raw_f1,event_recall,mttd
SMD,one_step,0,raw_realtime,0.005,primary,3543,0.041562914655148074,0.21481189559523448,238,0.017510524693241436,2.368445046107916,0.720982981386587,4.256587041996098,positive,primary,0.07815199927244065,0.5565749235474006,22.065934065934066
SMD,one_step,0,raw_delayed,0.005,primary,3543,0.041562914655148074,0.21481189559523448,238,0.017510524693241436,2.368445046107916,0.720982981386587,4.256587041996098,positive,primary,0.0720283748143208,0.37003058103975534,30.487603305785125
SMD,one_step,0,confirmation_mean,0.005,primary,3543,0.041562914655148074,0.21481189559523448,238,0.017510524693241436,2.368445046107916,0.720982981386587,4.256587041996098,positive,primary,0.09045987813381028,0.42201834862385323,32.072463768115945
SMD,one_step,0,ewma,0.005,primary,3543,0.041562914655148074,0.21481189559523448,238,0.017510524693241436,2.368445046107916,0.720982981386587,4.256587041996098,positive,primary,0.09506775396368265,0.39143730886850153,28.6484375
SMD,one_step,0,raw_realtime,0.01,post_review_sensitivity,7085,0.041562914655148074,0.38791097484190645,238,0.017510524693241436,2.368445046107916,0.720982981386587,4.256587041996098,positive,primary,0.10807851296230395,0.6574923547400612,16.990697674418605
SMD,one_step,0,raw_delayed,0.01,post_review_sensitivity,7085,0.041562914655148074,0.38791097484190645,238,0.017510524693241436,2.368445046107916,0.720982981386587,4.256587041996098,positive,primary,0.10222015385036547,0.46788990825688076,23.725490196078432
SMD,one_step,0,confirmation_mean,0.01,post_review_sensitivity,7085,0.041562914655148074,0.38791097484190645,238,0.017510524693241436,2.368445046107916,0.720982981386587,4.256587041996098,positive,primary,0.13589203098907718,0.5351681957186545,25.794285714285714
SMD,one_step,0,ewma,0.01,post_review_sensitivity,7085,0.041562914655148074,0.38791097484190645,238,0.017510524693241436,2.368445046107916,0.720982981386587,4.256587041996098,positive,primary,0.14432368802868953,0.4709480122324159,27.0974025974026
SMD,one_step,0,raw_realtime,0.05,post_review_sensitivity,35421,0.041562914655148074,0.9078547753025514,238,0.017510524693241436,2.368445046107916,0.720982981386587,4.256587041996098,positive,primary,0.1841362830494103,0.8929663608562691,8.304794520547945
SMD,one_step,0,raw_delayed,0.05,post_review_sensitivity,35421,0.041562914655148074,0.9078547753025514,238,0.017510524693241436,2.368445046107916,0.720982981386587,4.256587041996098,positive,primary,0.17914129345563864,0.6788990825688074,12.337837837837839
SMD,one_step,0,confirmation_mean,0.05,post_review_sensitivity,35421,0.041562914655148074,0.9078547753025514,238,0.017510524693241436,2.368445046107916,0.720982981386587,4.256587041996098,positive,primary,0.23402451244893238,0.8226299694189603,10.631970260223047
SMD,one_step,0,ewma,0.05,post_review_sensitivity,35421,0.041562914655148074,0.9078547753025514,238,0.017510524693241436,2.368445046107916,0.720982981386587,4.256587041996098,positive,primary,0.24577198797502503,0.7706422018348624,11.432539682539682
MSL,one_step,0,raw_realtime,0.005,primary,369,0.1053316876669967,0.09071911493546404,26,-0.0025444828960383137,-3.784446897142487,-7.075511858500485,-1.0469895519363195,reversal,primary,0.0331899200983405,0.3055555555555556,90.27272727272727
MSL,one_step,0,raw_delayed,0.005,primary,369,0.1053316876669967,0.09071911493546404,26,-0.0025444828960383137,-3.784446897142487,-7.075511858500485,-1.0469895519363195,reversal,primary,0.0331899200983405,0.3055555555555556,88.72727272727273
MSL,one_step,0,confirmation_mean,0.005,primary,369,0.1053316876669967,0.09071911493546404,26,-0.0025444828960383137,-3.784446897142487,-7.075511858500485,-1.0469895519363195,reversal,primary,0.03786109403810694,0.16666666666666666,33.166666666666664
MSL,one_step,0,ewma,0.005,primary,369,0.1053316876669967,0.09071911493546404,26,-0.0025444828960383137,-3.784446897142487,-7.075511858500485,-1.0469895519363195,reversal,primary,0.0398279041180086,0.16666666666666666,32.833333333333336
MSL,one_step,0,raw_realtime,0.01,post_review_sensitivity,738,0.1053316876669967,0.1735653809971778,26,-0.0025444828960383137,-3.784446897142487,-7.075511858500485,-1.0469895519363195,reversal,primary,0.042568203198494824,0.5555555555555556,101.75
MSL,one_step,0,raw_delayed,0.01,post_review_sensitivity,738,0.1053316876669967,0.1735653809971778,26,-0.0025444828960383137,-3.784446897142487,-7.075511858500485,-1.0469895519363195,reversal,primary,0.042568203198494824,0.5555555555555556,104.7
MSL,one_step,0,confirmation_mean,0.01,post_review_sensitivity,738,0.1053316876669967,0.1735653809971778,26,-0.0025444828960383137,-3.784446897142487,-7.075511858500485,-1.0469895519363195,reversal,primary,0.05268109125117591,0.3333333333333333,80.41666666666667
MSL,one_step,0,ewma,0.01,post_review_sensitivity,738,0.1053316876669967,0.1735653809971778,26,-0.0025444828960383137,-3.784446897142487,-7.075511858500485,-1.0469895519363195,reversal,primary,0.059501411100658506,0.3055555555555556,85.0
MSL,one_step,0,raw_realtime,0.05,post_review_sensitivity,3687,0.1053316876669967,0.6438487732471841,26,-0.0025444828960383137,-3.784446897142487,-7.075511858500485,-1.0469895519363195,reversal,primary,0.12485811577752555,0.9166666666666666,15.515151515151516
MSL,one_step,0,raw_delayed,0.05,post_review_sensitivity,3687,0.1053316876669967,0.6438487732471841,26,-0.0025444828960383137,-3.784446897142487,-7.075511858500485,-1.0469895519363195,reversal,primary,0.12468348904217234,0.8888888888888888,17.03125
MSL,one_step,0,confirmation_mean,0.05,post_review_sensitivity,3687,0.1053316876669967,0.6438487732471841,26,-0.0025444828960383137,-3.784446897142487,-7.075511858500485,-1.0469895519363195,reversal,primary,0.12765214354317644,0.8333333333333334,35.13333333333333
MSL,one_step,0,ewma,0.05,post_review_sensitivity,3687,0.1053316876669967,0.6438487732471841,26,-0.0025444828960383137,-3.784446897142487,-7.075511858500485,-1.0469895519363195,reversal,primary,0.12398498210075964,0.7222222222222222,47.46153846153846
SMAP,one_step,0,raw_realtime,0.005,primary,2139,0.12790885301566587,0.07527051992610187,13,0.00036051049645468257,-1.1703843501807352,-6.429005041384719,2.387557022387192,underpowered,exploratory_underpowered,0.006791589689451922,0.417910447761194,45.75
SMAP,one_step,0,raw_delayed,0.005,primary,2139,0.12790885301566587,0.07527051992610187,13,0.00036051049645468257,-1.1703843501807352,-6.429005041384719,2.387557022387192,underpowered,exploratory_underpowered,0.006861968857218265,0.417910447761194,47.785714285714285
SMAP,one_step,0,confirmation_mean,0.005,primary,2139,0.12790885301566587,0.07527051992610187,13,0.00036051049645468257,-1.1703843501807352,-6.429005041384719,2.387557022387192,underpowered,exploratory_underpowered,0.008058414709246063,0.34328358208955223,61.869565217391305
SMAP,one_step,0,ewma,0.005,primary,2139,0.12790885301566587,0.07527051992610187,13,0.00036051049645468257,-1.1703843501807352,-6.429005041384719,2.387557022387192,underpowered,exploratory_underpowered,0.011331046010380928,0.29850746268656714,82.3
SMAP,one_step,0,raw_realtime,0.01,post_review_sensitivity,4277,0.12790885301566587,0.14504942939989487,13,0.00036051049645468257,-1.1703843501807352,-6.429005041384719,2.387557022387192,underpowered,exploratory_underpowered,0.012175063164499008,0.5671641791044776,24.973684210526315
SMAP,one_step,0,raw_delayed,0.01,post_review_sensitivity,4277,0.12790885301566587,0.14504942939989487,13,0.00036051049645468257,-1.1703843501807352,-6.429005041384719,2.387557022387192,underpowered,exploratory_underpowered,0.012175063164499008,0.5522388059701493,26.89189189189189
SMAP,one_step,0,confirmation_mean,0.01,post_review_sensitivity,4277,0.12790885301566587,0.14504942939989487,13,0.00036051049645468257,-1.1703843501807352,-6.429005041384719,2.387557022387192,underpowered,exploratory_underpowered,0.01261594288911875,0.47761194029850745,42.625
SMAP,one_step,0,ewma,0.01,post_review_sensitivity,4277,0.12790885301566587,0.14504942939989487,13,0.00036051049645468257,-1.1703843501807352,-6.429005041384719,2.387557022387192,underpowered,exploratory_underpowered,0.016075153036135183,0.417910447761194,46.035714285714285
SMAP,one_step,0,raw_realtime,0.05,post_review_sensitivity,21381,0.12790885301566587,0.5620884104262787,13,0.00036051049645468257,-1.1703843501807352,-6.429005041384719,2.387557022387192,underpowered,exploratory_underpowered,0.0491870078998909,0.5970149253731343,45.475
SMAP,one_step,0,raw_delayed,0.05,post_review_sensitivity,21381,0.12790885301566587,0.5620884104262787,13,0.00036051049645468257,-1.1703843501807352,-6.429005041384719,2.387557022387192,underpowered,exploratory_underpowered,0.04895040551020677,0.5671641791044776,17.289473684210527
SMAP,one_step,0,confirmation_mean,0.05,post_review_sensitivity,21381,0.12790885301566587,0.5620884104262787,13,0.00036051049645468257,-1.1703843501807352,-6.429005041384719,2.387557022387192,underpowered,exploratory_underpowered,0.04621633345163453,0.582089552238806,47.282051282051285
SMAP,one_step,0,ewma,0.05,post_review_sensitivity,21381,0.12790885301566587,0.5620884104262787,13,0.00036051049645468257,-1.1703843501807352,-6.429005041384719,2.387557022387192,underpowered,exploratory_underpowered,0.049686501833668524,0.582089552238806,47.92307692307692
PSM,one_step,0,raw_realtime,0.005,primary,440,0.27755831559294636,0.03545384956287015,35,0.02110673747884073,3.56641717511661,2.076644223392544,5.204384616521608,positive,primary,0.02457596390153499,0.5138888888888888,104.8108108108108
PSM,one_step,0,raw_delayed,0.005,primary,440,0.27755831559294636,0.03545384956287015,35,0.02110673747884073,3.56641717511661,2.076644223392544,5.204384616521608,positive,primary,0.02207807904596914,0.2638888888888889,206.10526315789474
PSM,one_step,0,confirmation_mean,0.005,primary,440,0.27755831559294636,0.03545384956287015,35,0.02110673747884073,3.56641717511661,2.076644223392544,5.204384616521608,positive,primary,0.024173079247411463,0.5,176.69444444444446
PSM,one_step,0,ewma,0.005,primary,440,0.27755831559294636,0.03545384956287015,35,0.02110673747884073,3.56641717511661,2.076644223392544,5.204384616521608,positive,primary,0.024656540832359693,0.4861111111111111,181.45714285714286
PSM,one_step,0,raw_realtime,0.01,post_review_sensitivity,879,0.27755831559294636,0.06959619952494062,35,0.02110673747884073,3.56641717511661,2.076644223392544,5.204384616521608,positive,primary,0.04932699920823437,0.6111111111111112,43.54545454545455
PSM,one_step,0,raw_delayed,0.01,post_review_sensitivity,879,0.27755831559294636,0.06959619952494062,35,0.02110673747884073,3.56641717511661,2.076644223392544,5.204384616521608,positive,primary,0.04664053529714534,0.375,73.14814814814815
PSM,one_step,0,confirmation_mean,0.01,post_review_sensitivity,879,0.27755831559294636,0.06959619952494062,35,0.02110673747884073,3.56641717511661,2.076644223392544,5.204384616521608,positive,primary,0.050752177355502776,0.5416666666666666,27.512820512820515
PSM,one_step,0,ewma,0.01,post_review_sensitivity,879,0.27755831559294636,0.06959619952494062,35,0.02110673747884073,3.56641717511661,2.076644223392544,5.204384616521608,positive,primary,0.050752177355502776,0.5277777777777778,24.86842105263158
PSM,one_step,0,raw_realtime,0.05,post_review_sensitivity,4393,0.27755831559294636,0.3053451032181831,35,0.02110673747884073,3.56641717511661,2.076644223392544,5.204384616521608,positive,primary,0.17877250295405572,0.8333333333333334,17.75
PSM,one_step,0,raw_delayed,0.05,post_review_sensitivity,4393,0.27755831559294636,0.3053451032181831,35,0.02110673747884073,3.56641717511661,2.076644223392544,5.204384616521608,positive,primary,0.17517639289562403,0.5416666666666666,27.794871794871796
PSM,one_step,0,confirmation_mean,0.05,post_review_sensitivity,4393,0.27755831559294636,0.3053451032181831,35,0.02110673747884073,3.56641717511661,2.076644223392544,5.204384616521608,positive,primary,0.18711336623340513,0.7916666666666666,22.263157894736842
