dataset,matched_pairs,peak_smd
SMD,238,0.017510524693241436
MSL,26,-0.0025444828960383137
SMAP,13,0.00036051049645468257
PSM,35,0.02110673747884073
SWaT,7,0.04085263482675505
HAI,31,0.03534530954799209
